run_id,backend,shape,mode,threads,runner_exit_code,parquet_present,setup_parquet_present,summary_present,status,attempted_ops,successful_ops,failed_exception_ops,failed_slow_ops,success_rate,top_failure_category,top_failure_reason
exp3_dolt_fan_out_64t_crud_tpcc,dolt,fan_out,crud,64,0,1,1,1,PARTIAL,14236,8162,0,6074,0.573335206518685,FAILURE_TIMEOUT,Slow operation: 0.202503s > 0.100000s
exp3_dolt_fan_out_128t_crud_tpcc,dolt,fan_out,crud,128,0,1,1,1,PARTIAL,13975,7400,1,6574,0.5295169946332737,FAILURE_TIMEOUT,Slow operation: 0.373904s > 0.100000s
exp3_dolt_fan_out_256t_crud_tpcc,dolt,fan_out,crud,256,0,1,1,1,PARTIAL,12341,6282,256,5803,0.5090349242362856,FAILURE_TIMEOUT,"Constraint or data issue: Error executing sql query: UPDATE orders SET o_c_id = %(o_c_id)s, o_entry_d = %(o_entry_d)s, o_carrier_id = %(o_carrier_id)s, o_ol_cnt = %(o_ol_cnt)s, o_all_local = %(o_all_local)s WHERE o_id = %(o_id"
exp3_dolt_fan_out_512t_crud_tpcc,dolt,fan_out,crud,512,0,1,1,1,PARTIAL,11452,5722,1,5729,0.4996507160321341,FAILURE_TIMEOUT,Slow operation: 1.872730s > 0.100000s
exp3_dolt_fan_out_1024t_crud_tpcc,dolt,fan_out,crud,1024,0,1,1,1,PARTIAL,9987,4580,247,5160,0.4585961750275358,FAILURE_TIMEOUT,"Unknown failure: Error executing sql query: UPDATE orders SET o_c_id = %(o_c_id)s, o_entry_d = %(o_entry_d)s, o_carrier_id = %(o_carrier_id)s, o_ol_cnt = %(o_ol_cnt)s, o_all_local = %(o_all_local)s WHERE (o_id, o_d_id"
exp3_dolt_spine_1t_branch_tpcc,dolt,spine,branch,1,0,1,0,1,SUCCESS,3484,3484,0,0,1.0,,
exp3_dolt_spine_2t_branch_tpcc,dolt,spine,branch,2,0,1,0,1,SUCCESS,4268,4268,0,0,1.0,,
exp3_dolt_spine_4t_branch_tpcc,dolt,spine,branch,4,0,1,0,1,SUCCESS,4626,4626,0,0,1.0,,
exp3_dolt_spine_8t_branch_tpcc,dolt,spine,branch,8,0,1,0,1,PARTIAL,4416,4360,0,56,0.9873188405797102,FAILURE_TIMEOUT,Slow operation: 0.123411s > 0.100000s
exp3_dolt_spine_16t_branch_tpcc,dolt,spine,branch,16,0,1,0,1,PARTIAL,4642,3849,0,793,0.8291684618698837,FAILURE_TIMEOUT,Slow operation: 0.138953s > 0.100000s
exp3_dolt_spine_32t_branch_tpcc,dolt,spine,branch,32,0,1,0,1,PARTIAL,4614,3099,0,1515,0.6716514954486346,FAILURE_TIMEOUT,Slow operation: 0.100803s > 0.100000s
exp3_dolt_spine_64t_branch_tpcc,dolt,spine,branch,64,0,1,0,1,PARTIAL,4486,2621,0,1865,0.5842621489077129,FAILURE_TIMEOUT,Slow operation: 0.549810s > 0.100000s
exp3_dolt_spine_128t_branch_tpcc,dolt,spine,branch,128,0,1,0,1,PARTIAL,4594,2528,0,2066,0.5502829777971266,FAILURE_TIMEOUT,Slow operation: 0.106433s > 0.100000s
exp3_dolt_spine_256t_branch_tpcc,dolt,spine,branch,256,0,1,0,1,PARTIAL,4842,2575,0,2267,0.5318050392399835,FAILURE_TIMEOUT,Slow operation: 0.107902s > 0.100000s
exp3_dolt_spine_512t_branch_tpcc,dolt,spine,branch,512,0,1,0,1,PARTIAL,5450,2817,0,2633,0.5168807339449542,FAILURE_TIMEOUT,Slow operation: 3.203093s > 0.100000s
exp3_dolt_spine_1024t_branch_tpcc,dolt,spine,branch,1024,0,1,0,1,PARTIAL,6158,3150,0,3008,0.5115297174407275,FAILURE_TIMEOUT,Slow operation: 0.122132s > 0.100000s
exp3_dolt_spine_1t_crud_tpcc,dolt,spine,crud,1,0,1,1,1,SUCCESS,4463,4463,0,0,1.0,,
exp3_dolt_spine_2t_crud_tpcc,dolt,spine,crud,2,0,1,1,1,SUCCESS,7548,7548,0,0,1.0,,
exp3_dolt_spine_4t_crud_tpcc,dolt,spine,crud,4,0,1,1,1,SUCCESS,9889,9889,0,0,1.0,,
exp3_dolt_spine_8t_crud_tpcc,dolt,spine,crud,8,0,1,1,1,SUCCESS,14103,14103,0,0,1.0,,
exp3_dolt_spine_16t_crud_tpcc,dolt,spine,crud,16,0,1,1,1,PARTIAL,14955,14943,0,12,0.999197592778335,FAILURE_TIMEOUT,Slow operation: 0.100050s > 0.100000s
exp3_dolt_spine_32t_crud_tpcc,dolt,spine,crud,32,0,1,1,1,PARTIAL,14666,11472,0,3194,0.7822173735169781,FAILURE_TIMEOUT,Slow operation: 0.103297s > 0.100000s
exp3_dolt_spine_64t_crud_tpcc,dolt,spine,crud,64,0,1,1,1,PARTIAL,14396,8229,0,6167,0.5716171158655182,FAILURE_TIMEOUT,Slow operation: 0.184499s > 0.100000s
exp3_dolt_spine_128t_crud_tpcc,dolt,spine,crud,128,0,1,1,1,PARTIAL,14573,7685,462,6426,0.5273450902353668,FAILURE_TIMEOUT,"Constraint or data issue: Error executing sql query: UPDATE orders SET o_c_id = %(o_c_id)s, o_entry_d = %(o_entry_d)s, o_carrier_id = %(o_carrier_id)s, o_ol_cnt = %(o_ol_cnt)s, o_all_local = %(o_all_local)s WHERE (o_id, o_d_id"
exp3_dolt_spine_256t_crud_tpcc,dolt,spine,crud,256,0,1,1,1,PARTIAL,11880,6080,1,5799,0.5117845117845118,FAILURE_TIMEOUT,Slow operation: 1.057190s > 0.100000s
exp3_dolt_spine_512t_crud_tpcc,dolt,spine,crud,512,0,1,1,1,PARTIAL,9379,4529,459,4391,0.48288730141806163,FAILURE_TIMEOUT,"Unknown failure: Error executing sql query: UPDATE orders SET o_c_id = %(o_c_id)s, o_entry_d = %(o_entry_d)s, o_carrier_id = %(o_carrier_id)s, o_ol_cnt = %(o_ol_cnt)s, o_all_local = %(o_all_local)s WHERE (o_id, o_d_id"
exp3_dolt_spine_1024t_crud_tpcc,dolt,spine,crud,1024,0,1,1,1,PARTIAL,8496,3683,184,4629,0.4334981167608286,FAILURE_TIMEOUT,"Unknown failure: Error executing sql query: UPDATE orders SET o_c_id = %(o_c_id)s, o_entry_d = %(o_entry_d)s, o_carrier_id = %(o_carrier_id)s, o_ol_cnt = %(o_ol_cnt)s, o_all_local = %(o_all_local)s WHERE o_id = %(o_id"
exp3_file_copy_bushy_1t_branch_tpcc,file_copy,bushy,branch,1,0,1,0,1,PARTIAL,1506,1495,0,11,0.9926958831341302,FAILURE_TIMEOUT,Slow operation: 0.136423s > 0.100000s
exp3_file_copy_bushy_2t_branch_tpcc,file_copy,bushy,branch,2,0,1,0,1,PARTIAL,2,0,2,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_4t_branch_tpcc,file_copy,bushy,branch,4,0,1,0,1,PARTIAL,4,0,4,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_8t_branch_tpcc,file_copy,bushy,branch,8,0,1,0,1,PARTIAL,8,0,8,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_16t_branch_tpcc,file_copy,bushy,branch,16,0,1,0,1,PARTIAL,16,0,16,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_32t_branch_tpcc,file_copy,bushy,branch,32,0,1,0,1,PARTIAL,192,0,192,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error creating branch: Error executing sql query: CREATE DATABASE branch_tid4_1 TEMPLATE main STRATEGY = FILE_COPY; None; source database ""main"" is being accessed by other users"
exp3_file_copy_bushy_64t_branch_tpcc,file_copy,bushy,branch,64,0,1,0,1,PARTIAL,64,0,64,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_128t_branch_tpcc,file_copy,bushy,branch,128,0,1,0,1,PARTIAL,768,0,768,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error creating branch: Error executing sql query: CREATE DATABASE branch_tid115_1 TEMPLATE main STRATEGY = FILE_COPY; None; source database ""main"" is being accessed by other users"
